nodegoat ID,Object ID,Name,Region,[GPS Location] Geometry
ngYF3C88kAFQlZvYiAR6lnvVzZM,12150538,Lesbos,Aegean Islands,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[26.2518310546875, 39.38207950167204], [26.20651245117187, 39.38101803294523], [26.180419921875, 39.38101803294523], [26.16806030273438, 39.37677199661635], [26.159820556640625, 39.35553794109382], [26.174926757812504, 39.335359608681216], [26.128234863281246, 39.32155002466662], [26.11862182617187, 39.310925412127155], [26.070556640625, 39.308800296002914], [26.044464111328125, 39.29498546816049], [26.01287841796875, 39.29285986803579], [25.992279052734375, 39.2832938689385], [25.96893310546875, 39.2832938689385], [25.94146728515625, 39.28223089949212], [25.91949462890625, 39.29179704377487], [25.896148681640625, 39.287545585410435], [25.857696533203125, 39.26628442213066], [25.85357666015625, 39.23969889541686], [25.8453369140625, 39.216295294574024], [25.843963623046868, 39.18862643257856], [25.852203369140625, 39.17691709496078], [25.86318969726562, 39.15668728161543], [25.885162353515625, 39.150297710716686], [25.8892822265625, 39.142842478062505], [25.9112548828125, 39.14071226655259], [25.934600830078125, 39.13006024213511], [25.948333740234375, 39.11621020143469], [25.95657348632813, 39.102357437817595], [25.99090576171875, 39.105554471086165], [26.034851074218746, 39.10022600175347], [26.070556640625, 39.09063374203144], [26.085662841796875, 39.091699613104595], [26.096649169921875, 39.11088253765179], [26.107635498046875, 39.11088253765179], [26.11724853515625, 39.13432124527173], [26.13235473632812, 39.14177738036501], [26.158447265625, 39.15775215369096], [26.161193847656246, 39.18117526158749], [26.19277954101562, 39.19714108934392], [26.229858398437496, 39.20139803081811], [26.26144409179688, 39.20246222588238], [26.279296874999996, 39.193948213963665], [26.28753662109375, 39.1833042481843], [26.2847900390625, 39.16733527710071], [26.255950927734375, 39.15136267949029], [26.22573852539062, 39.13645165015621], [26.198272705078125, 39.128994951066765], [26.173553466796875, 39.11940660636222], [26.169433593749993, 39.10662011662115], [26.14471435546875, 39.09276546806873], [26.114501953125, 39.09596293630547], [26.10076904296875, 39.08850195155841], [26.0870361328125, 39.07890809706475], [26.093902587890625, 39.07464374293251], [26.11175537109375, 39.06824672852526], [26.124114990234375, 39.055450960258554], [26.150207519531254, 39.02665200282546], [26.173553466796875, 39.00637903337455], [26.21063232421875, 39.01918369029134], [26.236724853515625, 39.01598274340996], [26.258697509765625, 39.011714588834074], [26.295776367187504, 38.997841307500714], [26.31500244140625, 38.98503278695909], [26.338348388671875, 38.97222194853654], [26.36993408203125, 38.971154274048345], [26.415252685546875, 38.96154447940714], [26.4605712890625, 38.9668834151496], [26.511383056640625, 38.971154274048345], [26.531982421874996, 38.9871677013526], [26.531982421874996, 39.01278165162774], [26.519622802734375, 39.03091925576062], [26.48529052734375, 39.06398173012625], [26.450958251953125, 39.079974145329246], [26.439971923828125, 39.09916025955624], [26.452331542968746, 39.11194810263149], [26.479797363281246, 39.11727568585598], [26.49627685546875, 39.11088253765179], [26.522369384765625, 39.08743603215884], [26.522369384765625, 39.07570985562645], [26.516876220703125, 39.059716474034666], [26.520996093750004, 39.04051963289309], [26.531982421874996, 39.027718840211605], [26.547088623046875, 39.01598274340996], [26.560821533203125, 39.01918369029134], [26.592407226562496, 39.01811672409787], [26.60751342773438, 39.01598274340996], [26.610260009765625, 39.036252959636606], [26.588287353515618, 39.07037913108751], [26.564941406249996, 39.10342313168426], [26.564941406249996, 39.11407918425643], [26.548461914062504, 39.12579898118161], [26.544342041015625, 39.13645165015621], [26.533355712890625, 39.144972625112224], [26.54022216796875, 39.15988184949157], [26.533355712890625, 39.16946468278697], [26.5264892578125, 39.18117526158749], [26.48529052734375, 39.20991113991019], [26.471557617187496, 39.229061862530656], [26.441345214843754, 39.246080341096295], [26.401519775390625, 39.26203141523749], [26.38229370117188, 39.27266344858914], [26.39190673828125, 39.29179704377487], [26.40289306640625, 39.31623792008409], [26.415252685546875, 39.328986293384574], [26.42074584960937, 39.339608162804474], [26.40289306640625, 39.34173234304089], [26.378173828125, 39.34385645872588], [26.349334716796875, 39.35978526869001], [26.356201171875, 39.36934081158634], [26.361694335937504, 39.37571044717935], [26.34109497070313, 39.386325215154336], [26.334228515625004, 39.39057067035076], [26.323242187499996, 39.38101803294523], [26.29852294921875, 39.38101803294523], [26.269683837890625, 39.38101803294523], [26.2518310546875, 39.38207950167204]]]}]}"
ngZG3D98lBQRlAwLjAy71owEaBN,12150539,Lydia,Lydia,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[27.608642578124996, 39.16839998800286], [27.322998046875, 39.10875135935859], [27.2406005859375, 38.80975079723835], [27.257080078125, 38.646908247760706], [27.2955322265625, 38.49229419236133], [27.344970703125004, 38.36750215395045], [27.449340820312496, 38.095659755295614], [27.4822998046875, 37.9051994823157], [27.6416015625, 37.80544394934271], [28.3447265625, 37.76637243960179], [28.6358642578125, 37.84015683604136], [28.899536132812504, 37.896530447543], [29.069824218749996, 37.90953361677018], [29.2620849609375, 38.10430528370985], [29.5587158203125, 38.28131307922966], [29.690551757812504, 38.37611542403604], [29.805908203125, 38.54816542304656], [29.915771484374996, 38.659777730712534], [29.888305664062496, 38.83542884007305], [29.756469726562496, 38.89103282648846], [29.701538085937496, 38.97222194853654], [29.46533203125, 39.08743603215884], [29.036865234375, 39.15136267949029], [28.685302734374996, 39.18117526158749], [28.328247070312504, 39.21097520599528], [28.004150390625, 39.20246222588238], [27.773437499999996, 39.20246222588238], [27.608642578124996, 39.16839998800286]]]}]}"
ngAH4E08mBnSnBxOkCJ82pxBbBu,12150540,Macedonia,Northern Aegean,"{""type"": ""Point"", ""coordinates"": [21.75, 41.25]}"
ngBI4F18nCoTlCyzlBU91qyUcCv,12150541,Magnesia on the Maiandros,Ionia,"{""type"": ""Point"", ""coordinates"": [27.518987, 37.848006]}"
ngCJ4C28oDpU4DzCmCV0nrzHdCQ,12150542,Megalopolis,Peloponnese,"{""type"": ""Point"", ""coordinates"": [22.1273485, 37.4124175]}"
ngDK4D38pEaV5EatnE41psaAeER,12150543,Miletos,Ionia,"{""type"": ""Point"", ""coordinates"": [27.278316833332998, 37.522904733333]}"
ngEL4E48qFLW6FbSoFN25tbXfFy,12150544,Nikaia,Northern Anatolia,"{""type"": ""Point"", ""coordinates"": [29.714681666666998, 40.429093666667]}"
ngFM4F58rGWX5GcTpF63rucSgGT,12150545,Olynthos,Northern Aegean,"{""type"": ""Point"", ""coordinates"": [23.3484365, 40.29456]}"
ngGN4K68sGNY9HdaqHP49vdLhIU,12150546,Panopolis - Egypt,North Africa,"{""type"": ""Point"", ""coordinates"": [31.750000000000004, 26.750000000000004]}"
ngHO4L78tHYZ0IeVrHQ50weIiIb,12150547,Pleuron,Northern Greece,"{""type"": ""Point"", ""coordinates"": [21.409382868834, 38.41522213067]}"
ngIP4I88uKPA8JfgsKR68xfhjIc,12150548,Praeneste,Central Italy,"{""type"": ""Point"", ""coordinates"": [12.892070000000002, 41.839064]}"
